ชื่อคนหาโจทย์,โจทย์,สมการคณิตศาสตร์,คำตอบที่ถูกต้อง,คำตอบของ ChatGPT,เนื้อหา,chatGPTตอบถูกต้อง,โจทย์ภาษาอังกฤษ ChatGPT,คำตอบของโจทย์ภาษาอังกฤษ,chatGPTตอบโจทย์ภาษาอังกฤษถูกต้อง
ภัทรธร,"เดิมวิชิตมีเงิน 15,600 บาท ขายเสื้อผ้าได้ 35 ตัว ราคาตัวละ 175 บาท วิชิตมีเงินทั้งหมดเท่าไหร่","15,600 + (35*175)","21,725 บาท","21,725 บาท",เงินตรา,yes,"Originally, Wichit had 15,600 baht. He sold 35 pieces of clothing at a price of 175 baht per piece. How much money does Wichit have now?","21,725 baht",yes
ภัทรธร,น้ำตาลทราย 294 กิโลกรัม แบ่งใส่ถุง ถุงละ 3 กิโลกรัม ถ้าขายน้ำตาลทรายถุงละ 72 บาท จะได้เงินทั้งหมดกี่บาท,(294/3) * 72,"7,056 บาท","7,056 บาท",เงินตรา,yes,"There are 294 kilograms of sugar. They are packed into bags, with each bag containing 3 kilograms. If each bag of sugar is sold at 72 baht, how much money will be earned in total?","7,056 baht",yes
ภัทรธร,"มีน้ำผึ้งอยู่ 65,976 มิลลิกรัม และมีน้ำหวาน 89,680 มิลลิกรัม อยากทราบว่าน้ำผึ้งและน้ำหวานหนักต่างกันเท่าไหร่","89,680 - 65,976","23,704 มิลลิกรัม","23,704 มิลลิกรัม",ชั่งตวง,yes," There are 65,976 milligrams of honey and 89,680 milligrams of syrup. I want to know the weight difference between honey and syrup.","23,704 milligrums",yes
ภัทรธร,เจี๊ยบออกกำลังกายบนลู่วิ่งทุกวันวันละ 50 นาที เป็นเวลา 3 สัปดาห์ 3 วัน เจี๊ยบใช้เวลา ออกกำลังกายทั้งหมดเท่าใด,(24*50) / 60,20 ชั่วโมง,20 ชั่วโมง,เวลา,yes,"Jeab exercises on a treadmill every day for 50 minutes. He does this for 3 weeks and 3 days. How much time, in total, does Jib spend exercising?",20 hours,yes
ภัทรธร,"ลุงชัยขายข้าวได้เงิน 174,550 บาท ขายข้าวโพดได้เงินน้อยกว่าขายข้าว 29,461 บาท  ลุงชัยขายข้าวโพดได้เงินกี่บาท","x = 174,550 - 29,461","145,089 บาท","145,089 บาท",เงินตรา,yes,"Uncle Chai earned 174,550 baht from selling rice. He earned 29,461 baht less from selling corn than from selling rice. How much did Uncle Chai earn from selling corn?","145,089 bath",yes
ภัทรธร,"ร้านค้าสั่งน้ำดื่มมาขาย  2,720 ขวด โดยขายไปขวดละ 39 บาท ถ้าขายหมดร้านค้าจะได้เงินเท่าไร","2,720 * 39","105,360 บาท","105,360 บาท",เงินตรา,yes,"A shop ordered 2,720 bottles of water to sell, priced at 39 baht per bottle. If they sell all the bottles, how much money will the shop earn?","105,360 bath",yes
ภัทรธร,"นารีมีข้าวสาร 1,320 กิโลกรัม บรรจุลงในกระสอบ กระสอบละ 24 กิโลกรัม จะได้กี่กระสอบ","1,320 / 24",55 กระสอบ,55 กระสอบ,จำนวน,yes,"Nari has 1,320 kilograms of rice. She packages it into bags, with each bag containing 24 kilograms. How many bags will she have?",55 bags,yes
ภัทรธร,"พ่อค้ามีน้ำตาลทรายแดงอยู่ 66,542 กิโลกรัม มีน้ำตาลทรายแดงน้อยกว่า 
น้ำตาลทรายขาวอยู่ 4,879 กิโลกรัม พ่อค้ามีน้ำตาลทรายขาวกี่กิโลกรัม","66,542 - 4,879","61,663 กิโลกรัม","61,663 กิโลกรัม",ชั่งตวง,yes,"The shopkeeper has 66,542 kilograms of brown sugar. He has 4,879 kilograms less brown sugar than white sugar. How many kilograms of white sugar does the shopkeeper have?","61,663 kilograms",yes
ภัทรธร,"พ่อมีเงิน 25,000 บาท  แม่มีเงิน 35,000 บาท นำไปซื้อ คอมพิวเตอร์ 45,000  บาท  พ่อกับแม่เหลือเงินเท่าไร","(25,000 + 35,000) - 45,000","15,000 บาท","15,000 บาท",เงินตรา,yes,"Dad has 25,000 baht, and Mom has 35,000 baht. They spent 45,000 baht to buy a computer. How much money do Dad and Mom have left?","15,000 bath",yes
ภัทรธร,"นงลักษณ์มีลูกปัด 1,255 เม็ด สุมาลีมีลูกปัด 1,685 เม็ด นำมารวมกันเพื่อแบ่งใส่ถุง ถุงละ 60 เม็ด จะใส่ได้กี่ถุง","(1,255 + 1,685) / 60",49 ถุง,49 ถุง,จำนวน,yes,"Nonglak has 1,255 marbles, while Sumanee has 1,685 marbles. They want to combine them and divide them into bags, with each bag containing 60 marbles. How many bags can they fill?",49 bags,yes
ภัทรธร,"เก่ง, เกม และก้อย ไปเก็บแอปเปิล ได้คนละ ได้คนละ 5 ลูก, 7 ลูก และ 3 ลูก ตามลำดับ ถ้านำมาแบ่งให้เท่าๆ กันจะได้คนละกี่ลูก","หาได้โดยหาหรมส่วนของจำนวนแอปเปิลทั้งสามคน 
ห.ร.ม.ส่วนของ 5, 7 และ 3 คือ 1 เนื่องจาก 1 เป็นตัวหารร่วมทั้งสามจำนวนนี้",1 ลูก,1 ลูก,จำนวน,yes,"Keng, Game, and Goy went apple-picking and each of them collected 5 apples, 7 apples, and 3 apples, respectively. If they want to divide them equally among themselves, how many apples will each of them get?",1 apple,yes
ภัทรธร,สุดาไปเล่นเกมจับฉลากได้ขนมมา 3 ห่อ  ดังนี้  ห่อที่หนึ่งมีขนม 60 ชิ้น ห่อที่สองมีขนม 55  ชิ้น ห่อที่สามมีขนม 65 ชิ้น สุดาได้ขนมเฉลี่ยแล้วห่อละกี่ชิ้น,(60 + 55 + 65) / 3,60 ชิ้น,60 ชิ้น,จำนวน,yes,"Suda played a game of lucky draw and won snacks. She received 3 packages of snacks as follows: the first package had 60 pieces of snacks, the second package had 55 pieces, and the third package had 65 pieces. On average, how many pieces of snacks did Suda receive in each package?",60 pieces,yes
ภัทรธร,สมคิดและน้องชายอีก 2 คนไปรับจ้างล้างจานในห้องอาหาร นอกจากค่าจ้างรายชั่วโมงแล้วได้ทิปจากลูกค้าดังนี้คือ  สมคิดได้ 150 บาท น้องคนที่1 ได้ 125 บาท น้องคนเล็กได้ 175 บาท ทั้งสามนำเงินรวมกันและเฉลี่ยแบ่งกัน จะได้คนละกี่บาท,(150 + 125 + 175) / 3,150 บาท,150 บาท,เงินตรา,yes,"Somkit and his two younger brothers took a dishwashing job in a dining room. In addition to their hourly wage, they received tips from customers as follows: Somkit received 150 baht, the first brother received 125 baht, and the youngest brother received 175 baht. They pooled their money together and divided it equally. How much did each of them receive?",150 bath,yes
ภัทรธร,"ฉันมีเงิน 95,000 บาท ซื้อเตียงราคา 8,500 บาท ซื้อที่นอนราคา 4,200 บาท  แม่จะเหลือเงินเท่าไร","95,000 - (8,500 + 4,200)","82,300 บาท","82,300 บาท",เงินตรา,yes,"I have 95,000 baht. I bought a bed for 8,500 baht and a mattress for 4,200 baht. How much money will my mom have left?","82,300 bath",yes
ภัทรธร,ร้านค้ามีสมุด 368 เล่ม  ซื้อมาเพิ่มอีก 200 เล่ม ขายไปเล่มละ 15 บาท  ถ้าขายหมดร้านค้าจะได้เงินเท่าไร,(368 + 200) * 15,"8,520 บาท","8,520 บาท",เงินตรา,yes," The store has 368 books. They bought an additional 200 books. If they sell each book for 15 baht, how much money will the store make if they sell all the books?","8,520 bath",yes
ภัทรธร,"แก้วมีลูกปัด 1,255 เม็ด สุมาลีมีลูกปัด 2,685 เม็ด นำมารวมกันเพื่อแบ่งใส่ถุง ถุงละ 60 เม็ด จะใส่ได้กี่ถุง","(1,255 + 2,685) / 60",66 ถุง,66 ถุง,จำนวน,yes,"Kaew has 1,255 marbles, while Sumali has 2,685 marbles. They want to combine them and divide them into bags, with each bag containing 60 marbles. How many bags can they fill?",66 bags,yes
ภัทรธร,แม่ค้าขายส้มโอ  175 ผล  ราคาผลละ 25 บาท  ขายทุเรียน 135 กิโลกรัม  ราคากิโลกรัมละ 35 บาท  แม่ค้าขายผลไม้ได้เงินทั้งหมดเท่าไร,(175*25) + (135*35),"9,100 บาท","9,100 บาท",เงินตรา,yes,The fruit vendor sells 175 oranges at a price of 25 baht per orange and 135 kilograms of durian at a price of 35 baht per kilogram. How much money does the fruit vendor earn in total?,"9,100 bath",yes
ภัทรธร,"ร้านค้ามีสมุด 4,368 เล่ม  ซื้อมาเพิ่มอีก 2,200 เล่ม ขายไปเล่มละ 15 บาท  ถ้าขายหมด ร้านค้าจะได้เงินเท่าไร","(4,368 + 2,200) * 15","98,520 บาท","98,520 บาท",เงินตรา,yes,"The store has 4,368 books. They bought an additional 2,200 books. If they sell each book for 15 baht, how much money will the store make if they sell all the books?","98,520 bath",yes
ภัทรธร,ถังเก็บข้าวสารใบหนึ่งจุ 550 ลิตร อีกใบหนึ่งจุเป็น 3 เท่าของใบแรก  มีข้าวสารเก็บทั้งสองใบ นำข้าวสารไปแจกผู้ประสบภัยน้ำท่วม 50 ครอบครัว ครอบครัวละเท่าๆ กัน แต่ละครอบครัวจะได้ข้าวสารเท่าไร,((550*3) + 550) / 50,44 ลิตร,44 ลิตร,ชั่งตวง,yes,There is one rice storage tank that can hold 550 liters of rice. Another tank can hold three times as much as the first one. They have rice stored in both tanks and plan to distribute it to 50 flood-affected families. Each family will receive an equal amount of rice. How much rice will each family receive?,44 liter,yes
ภัทรธร,เชือกเส้นหนึ่งยาว 10 เมตร 75 เซนติเมตร ถ้าแบ่งเชือกเป็น 5 เส้นเท่าๆ กัน จะได้เชือกยาวเส้นละกี่เมตร,หารยาว   5 ) 10   75,2 เมตร 15 เซนติเมตร,2 เมตร 15 เซนติเมตร,พื้นที่,yes,"There is a rope that is 10 meters and 75 centimeters long. If it is divided into 5 equal pieces, how long will each piece of the rope be in meters?",2 meters 15 centimeters,yes
ภัทรธร,"ร้านค้าแห่งหนึ่งขายเครื่องซักผ้าได้ 7 เครื่อง ถ้าเครื่องซักผ้าราคาเครื่องละ 13,599 บาท ร้านค้าแห่งนี้ขายเครื่องซักผ้าได้เงินกี่บาท","13,599 * 7","95,193 บาท","95,193 บาท",เงินตรา,yes,"One store sells washing machines and has sold 7 machines. If the price of each washing machine is 13,599 baht, how much money did this store make from selling washing machines?","95,193 bath",yes
ภัทรธร,ถ้าขณะนี้เวลา 20 นาฬิกา 30 นาที อีกกี่ชั่วโมงถึงจะเป็นเวลา 6 นาฬิกา,"จาก 20.30 น. ถึง 24.00 น. เป็นเวลา 3 ชั่วโมง 30 นาที,จาก 24.00 น. ถึง 06.00 น. เป็นเวลา 6 ชั่วโมง,ดังนั้น จากเวลา 20.30 น. ถึง 06.00 น.",9 ชั่วโมง 30 นาที,9 ชั่วโมง 30 นาที,เวลา,yes,"If it is currently 20 hours and 30 minutes, how many more hours until it is 6 o'clock?",9 hour 30 minute,yes
ภัทรธร,พ่อค้าขายหมอนข้างได้ 82 ใบ ราคาใบละ 265 บาท ขายผ้าห่มได้ 33 ผืน ราคาผืนละ 399 บาท พ่อค้าขายหมอนข้างได้เงินมากกว่าขายผ้าห่มกี่บาท,(82*265) – (33*399),"8,563 บาท","8,563  บาท",เงินตรา,yes,"The shopkeeper sold 82 pillowcases, each priced at 265 baht, and 33 blankets, each priced at 399 baht. How much more money did the shopkeeper earn from selling pillowcases than from selling blankets?","8,563 bath",
ภัทรธร,น้ำส้มสายชูขวดใหญ่มีปริมาตร 8 ลิตร 450 มิลลิลิตร  และน้ำปลาขวดใหญ่มีปริมาตร  6 ลิตร 500  มิลลิลิตร  นำน้ำส้มสายชูและน้ำปลามาแบ่งใส่ขวดเล็กขวดละ 65 ลูกบาศก์เซนติเมตร จะแบ่งได้ทั้งหมดกี่ขวด,"((8*1,000)+450)/65 + ((6*1,000)+500)/65",230 ขวด,230 ขวด,จำนวน,yes,"Orange sauce has a volume of 8 liters 450 milliliters in a large bottle, and fish sauce has a volume of 6 liters 500 milliliters in a large bottle. The sauces are to be divided into small bottles, each with a volume of 65 cubic centimeters. How many small bottles can be filled in total?",230 bottles,yes
ไอริณ,"โรงงานแห่งหนึ่งผลิตรองเท้าผู้ชายได้ 58,680 คู่ ซึ่งมากกว่าผลิตรองเท้าผู้หญิง 3,120 คู่ โรงงานแห่งนี้ผลิตรองเท้าผู้หญิงได้กี่คู่",58680 - 3120,55560 คู่,55560 คู่,จำนวน,yes,"The factory produces 58,680 pairs of men's shoes, which is more than the 3,120 pairs of women's shoes. How many pairs of women's shoes does the factory produce?","55,560 pairs",yes
ไอริณ,อ้อยมีเงินฝากในธนาคาร 235000 บาท ออมมีเงินฝาก 176000 บาท อ้อยมีเงินฝากธนาคารมากกว่าออมกี่บาท,235000 - 176000,59000 บาท,59000 บาท,เงินตรา,yes,"Aoi has a bank deposit of 235,000 baht, and Aom has a savings deposit of 176,000 baht. How much more money does Aoi have in the bank than Aom?","59,000 baht",yes
ไอริณ,ฟาร์มแห่งหนึ่งเลี้ยงไก่ 38200 ตัว เลี้ยงเป็ด 28670 ตัว ต่อมาไก่และเป็ดออกจากไข่มาอีก 12800 ตัว รวมแล้วฟาร์มแห่งนี้มีไก่และเป็ดรวมกันกี่ตัว,38200 + 28670 + 12800,79670 ตัว,79670 ตัว,จำนวน,yes,"One farm raises 38,200 chickens and 28,670 ducks, and after hatching, there are another 12,800 chickens and ducks. In total, how many chickens and ducks are there on the farm?","92,470 chickens and ducks ",no
ไอริณ,บ้านราคาหลังละ 1786000 บาท ที่ดินราคา 570000 บาท บ้านราคาแพงกว่าที่ดินกี่บาท,1786000 - 570000,1216000 บาท,1216000 บาท,เงินตรา,yes,"The house is priced at 1,786,000 baht, and the land is priced at 570,000 baht. How much more expensive is the house than the land?","1,216,000 baht",yes
ไอริณ,พ่อมีเงินอยู่ 276000บาท ต้องการซื้อรถยนต์ราคา 518000 บาท พ่อต้องหาเงินเพิ่มอีกกี่บาท,518000 - 276000,242000 บาท,242000 บาท,เงินตรา,yes,"Father has 276,000 baht and wants to buy a car priced at 518,000 baht. How much more money does Father need to find?","242,000 baht",yes
ไอริณ,ขายที่ดินได้ค่านายหน้า 27000 บาท นำไปฝากธนาคารซึ่งมีเงินอยู่ในบัญชีแล้ว 48500 บาท มีเงินรวมทั้งหมดกี่บาท,27000 + 48500,75500 บาท,75500 บาท,เงินตรา,yes,"After selling the land and receiving a commission of 27,000 baht, the money was deposited into the bank, which already had 48,500 baht in the account. What is the total amount of money now?","75,500 baht",yes
ไอริณ,ฝรั่งราคากิโลกรัมละ 35 บาท ขายฝรั่งได้ 35 กิโลกรัมจะได้เงินทั้งหมดกี่บาท,35 * 35,1225 บาท,1225 บาท,เงินตรา,yes,"The price of guava is 35 baht per kilogram, and if you sell 35 kilograms of guava, how much money will you receive in total?",1225 baht,yes
ไอริณ,ห้องประชุมแห่งหนึ่งมีเก้าอี้ 23 แถว แถวหนึ่งมี 32 ตัว ห้องประชุมนี้มีเก้าอี้กี่ตัว,23 * 32,736 ตัว,736 ตัว,จำนวน,yes,"In one conference room, there are 23 rows of chairs, and each row has 32 chairs. How many chairs are there in total in this conference room?",736 chairs,yes
ไอริณ,มังคุดราคากิโลกรัมละ 35 บาท ซื้อมังคุดมา 15 กิโลกรัม จะต้องจ่ายเงินทั้งหมดกี่บาท,35 * 15,525 บาท,525 บาท,เงินตรา,yes,The price of mangosteen is 35 baht per kilogram. Buy 15 kilograms of mangosteen. How many baht do you have to pay in total?,525 baht,yes
ไอริณ,ขายรองเท้าคู่ละ 99 บาท ได้เงินทั้งหมด 32175 บาท ขายรองเท้าไปทั้งหมดกี่คู่,32175 / 99,325 คู่,325 คู่,จำนวน,yes,"If you sell each pair of shoes for 99 baht and have earned a total of 32,175 baht, the number of pairs of shoes sold?",325 pairs,yes
กานต์ธิดา ,นักเรียนซื้ออุปกรณ์ที่ใช้ในวิชาศิลปะ ดังนี้ กระดาษปอนด์ ราคา 20.50 บาท ชุดพู่กัน ราคา 140.50 บาท และชุดสีน้ำ ราคา 340.75 บาท นักเรียนจะต้องจ่ายเงินทั้งหมดกี่บาท,20.50+140.50+340.75,501.75 บาท,501.75 บาท,การบวกทศนิยม,yes,"The student purchased art supplies as follows: Pound paper priced at 20.50 baht, an apron set priced at 140.50 baht, and a watercolor set priced at 340.75 baht. How much does the student have to pay in total?",501.75 Bath,yes
กานต์ธิดา ,แม่พลอยวัดส่วนสูงของลูกชายสองคน อ้นสูง 145.50 เซนติเมตร อ๊อดสูงกว่าอ้น 10.5 เซนติเมตร อ๊อดสูงกี่เซนติเมตร,145.50+10.50,156 เซนติเมตร,156 เซนติเมตร,ทศนิยม,yes,"Mother Ploy measured the heights of her two sons. An is 145.50 centimeters tall, and Aod is taller than An by 10.5 centimeters. How tall is Aod?",156 centimeters,yes
กานต์ธิดา ,นักเขียนคนหนึ่งเขียนหนังสือ 1 ชุด มีทั้งหมด 3 เล่ม หนังสือเล่มแรกมี 150 หน้า เล่มที่ 2 มี 230 หน้า และเล่มที่่ 3 มี 120 หน้าา หนังสือชุดนี้มีจำนวนหน้าทั้งหมดกี่หน้า,150+230+120,500 หน้า,500 หน้า,จำนวน,yes,"One author wrote a book series, consisting of 3 volumes. The first volume has 150 pages, the second volume has 230 pages, and the third volume has 120 pages. How many pages are there in total for this book series?",500 pages,yes
กานต์ธิดา ,"ชาวนาขายข้าวหอมมะลิได้ 50,000 บาท ขายข้าวไรซ์เบอร์รี่ได้น้อยกว่าข้าวหอมมะลิ 13,600 บาท ชาวนาคนนี้ขายข้าวไรซ์เบอร์รี่ได้เท่าไร",50000-13600,"36,400 บาท","36,400 บาท",เงินตรา,yes,"The farmer sold jasmine rice for 50,000 baht and sold basmati rice for less than jasmine rice, earning 13,600 baht. How much did the farmer earn from selling basmati rice?","36,400 baht",yes
กานต์ธิดา ,ผลไม้หนัก 3/10 กิโลกรัม ใส่ตะกร้าซึ่งหนัก 1/2 กิโลกรัม เมื่อนำไปชั่งรวมกันจะมีน้ำหนักกี่กิโลกรัม,0.3+0.5 หรือ 3/10+(1/2)*5,0.8 กิโลกรัม,0.8 กิโลกรัม,จำนวน,yes,"The fruits weigh 3/10 kilograms, and when placed in the basket, the basket itself weighs 1/2 kilogram. When they are weighed together, what is the total weight in kilograms?",0.8 kilograms,yes
กานต์ธิดา ,"มานีมีเงินฝากธนาคาร 20,450.84 บาท มานะมีเงินฝากในธนาคาร 712.52 บาท มานีและมานะมีเงินฝากรวมกันทั้งหมดกี่บาท",20450.84+712.52,"21,163.36 บาท","21,163.36 บาท",การบวกทศนิยม,yes,"Marni has a bank deposit of 20,450.84 baht, and Mana has a bank deposit of 712.52 baht. What is the total amount of money that Marni and Mana have together?","21,163.36 baht",yes
กานต์ธิดา ,ครูแบ่งส้มทั้งหมด 960 ผล ให้นักเรียน 80 คน คนละเท่า ๆ กัน จะได้คนละกี่ผล,960/80,12 ผล,12 ผล,การแบ่งของ,yes,The teacher divided all 960 oranges among 80 students equally. How many oranges will each student get?,12 oranges,yes
กานต์ธิดา ,"ครูซื้อพัดลมติดอาคารเรียน 22ตัว ราคาตัวละ 1,150 บาท ครูต้องใช้เงินทั้งหมดเท่าใด",22*1150,"25,300 บาท","25,300 บาท",เงินตรา,yes,"The teacher bought 22 fans to install in the school building, and the price for each fan is 1,150 baht. How much money does the teacher need to spend in total?","25,300 baht",yes
กานต์ธิดา ,"ชาวสวนเก็บมะม่วง 1,750 กิโลกรัม นำมาจัดใส่เข่ง เข่งละ 25 กิโลกรัม จะได้กี่เข่ง",1750/25,70 เข่ง,70 เข่ง,จำนวน,yes,"The fruit pickers collected 1,750 kilograms of mangoes and packed them into baskets, with each basket weighing 25 kilograms. How many baskets did they get?",70 baskets,yes
กานต์ธิดา ,โรงงานแห่งหนึ่งรับเย็บเสื้อให้ลูกค้าจำนวนหนึ่งโดยเย็บได้วันละ120ตัว เป็นเวลา5วัน โรงงานแห่งนี้เย็บเสื้อให้ลูกค้าได้กี่ตัว,120*5,600 ตัว,600 ตัว,จำนวน,yes,"One factory accepts an order to sew shirts for a customer. They can sew 120 shirts per day, and it takes 5 days to complete the order. How many shirts can this factory sew for the customer?",600 shirts,yes
ภทรชล,"ชายคนหนึ่งซื้อไก่จำนวนสิบตัวราคา 21,000 บาท พ่อค้าลดราคาให้ 3,500 บาท ชายคนนั้นจะต้องจ่ายเงินให้พ่อค้าเท่าไร",21000-3500,"17,500 บาท","17,500 บาท",เงินตรา,yes,"A man bought ten chickens for 21,000 baht. The merchant reduced the price to 3,500 baht. The man still had to pay the merchant.","17,500 baht",yes
ภทรชล,แม่ต้องซื้อไข่มาทำขนม ซึ่งขนม 1 ชิ้น ต้องใช้ไข่ 3 ฟอง ถ้าแม่ต้องการทำขนม 34 ชิ้น และตอนนี้มีไข่อยู่แล้ว 68 ฟอง แม่ต้องซื่อไข่เพิ่มอีกกี่ฟอง,(34*3) - 68,34 ฟอง,34 ฟอง,จำนวน,yes,"Mom has to buy eggs to make snacks. One snack requires 3 eggs. If mom wants to make 34 snacks and now she has 68 eggs, how many more eggs must she buy?",34 more eggs,yes
ภทรชล,มนทำขนมวันละ 45 ชิ้น นำไปขายชิ้นละ 5 บาท มนขายขนมหมดทุกวัน ในหนึ่งอาทิตย์  มนจะได้เงินทั้งหมดกี่บาท,45*5*7,"1,575 บาท","1,575 บาท",เงินตรา,yes,Mon makes 45 pieces of sweets a day and sells them for 5 baht each. Mon sells all the sweets every day. in a week How many baht will Mon get?,"1,575 baht",yes
นันทมารถ,"ชายชราต้องการซื้อลาจำนวนสิบตัวราคา 21,000 บาท แต่มีเงินเพียง 17,500 บาท ชายชราต้องหาเงินเพิ่มอีกเท่าไร","21,000-17,500","3,500 บาท","3,500 บาท",เงินตรา,yes,"A man wishes to buy ten horses priced at 21,000 baht, but he only has 17,500 baht. How much more money does the man need to find?","3,500 baht more.",yes
นันทมารถ,"อาหารของเต่าทองหนัก 89,680 มิลลิกรัม อาหารของผึ้งน้อยหนัก 65,976 มิลลิกรัม อาหารของเต่าทองและอาหารของผึ้งน้อยหนักทั้งหมด กี่มิลลิกรัม",89680+65976,"155,656 มิลลิกรัม","155,656 มิลลิกรัม",ชั่งตวง,yes,"The food of the tortoise weighs 89,680 milligrams, and the food of the little bee weighs 65,976 milligrams. How many milligrams does all the food of the tortoise and the little bee weigh?","155,656 milligrams",yes
นันทมารถ,"วันนี้ลาแกล้งล้มท าเกลือหกในล าธาร 5,760 กิโลกรัม ซึ่งน้อยกว่า เมื่อวานอยู่ 1,470 กิโลกรัม เมื่อวานลาท าเกลือหกกี่กิโลกรัม","5,760 + 1,470","7,230 กิโลกรัม","4,290 กิโลกรัม",ชั่งตวง,no,"Today donkey fell down and spilled 5,760 kilograms of salt in the stream, which is less than Yesterday was 1,470 kilograms. How many kilograms of salt did the donkey spill yesterday?","1,470 kilograms",no
นันทมารถ,"มีน้ าผึ้งอยู่ 65,976 มิลลิกรัม และมีน้ าหวาน 89,680 มิลลิกรัม อยากทราบว่าน้ าผึ้งและน้ าหวานหนักต่างกันเท่าไ",89680   -   65976,"23,704มิลลิกรัม","23,704 มิลลิกรัม",เงินตรา,yes,"There is 65,976 milligrams of honey and 89,680 milligrams of syrup. I would like to know the difference in weight between honey and syrup","23,704 milligrams.",yes
นันทมารถ,"เต่าทองบินกลับรังเป็นระยะทาง 3,560 เมตร ถ้าหากผึ้งน้อยบินมา หาเต่าทองโดยบินอ้อมไป 790 เมตร ผึ้งน้อยบินมาหาเต่าทองเป็นระยะทาง เท่าไร","3,560 + 790","4,350 เมตร","2,770 เมตร",ระยะทาง,no,"The ladybug flew back to the nest a distance of 3,560 meters. If a bee makes a detour and flies 790 meters toward a ladybug, How far did the little bee fly to the ladybug?",790 meter,no
นันทมารถ,"วันแรกพ่อค้าขี่ลาเพื่อไปซื้อเกลือ 9,465 กิโลกรัม วันที่สองซื้อน้อย กว่าวันแรกอยู่ 1,395 กิโลกรัม วันที่สองพ่อค้าซื้อเกลือมาเท่าไ","9,465 – 1,395","8,070กิโลกรัม
","8,070 กิโลกรัม",ชั่งตวง,yes,"On the first day, the merchant rode a donkey to buy 9,465 kilograms of salt. On the second day, he bought less than the first day by 1,395 kilograms. How much salt did the merchant buy on the second day?","8,070 kilograms",yes
นันทมารถ,"ลาแบกเกลือหนัก 8,070 กิโลกรัม ต่อมาได้ท าเกลือหกละลายไปกับ น้ า 5,760 กิโลกรัม ยังเหลือเกลือบนหลังลาอีกกี่กิโลกรัม","8,070 – 5,760","2,310กิโลกรัม","2,310 กิโลกรัม",ชั่งตวง,yes,"The donkey carried 8,070 kilograms of salt, and later, it dissolved in 5,760 kilograms of water. How many kilograms of salt are left on the donkey's back?","2,310 kilograms",yes
นันทมารถ,"ปีที่แล้วมีกบอยู่ในบึง 32,650 ตัว ปีนี้มีกบเพิ่มขึ้นอีก 10,348 ตัว รวมมีกบทั้งหมดจ านวนกี่ตัว","32,650 + 10,348","42,998 ตัว","43,998 ตัว",จำนวน,yes,"In the past year, there were 32,650 frogs in the pond. This year, an additional 10,348 frogs have appeared. In total, how many frogs are there now?","43,998 frogs",yes
นันทมารถ,"ชายชราเดินทางไปซื้อลาเป็นระยะทาง 6,700 เมตร และเดินทางไป หาเพื่อนอีก 5,345 เมตร ชายชราเดินทางทั้งหมดกี่เมตร","6,700 + 5,345","12,045 เมตร","12,045 เมตร",ระยะทาง,yes,"A man travels a distance of 6,700 meters to buy a horse, and he travels another 5,345 meters to visit a friend. How many meters did the man travel in total?","12,045 meters",yes
นันทมารถ,"มีกบอยู่ในบึง 32,650 ตัว ถูกนกกระสาจิกกินไป 23,439 ตัว ยังเหลือกบอยู่จ านวนกี่ตัว","32,650 – 23,439","9,211 ตัว","9,211 ตัว",จำนวน,yes,"There are 32,650 frogs in the pond, and 23,439 of them were eaten by kingfishers. How many frogs are still left?","9,211 frog",yes
ศุภางค์,"แซม, คาร์ลา และ ซาราห์ ใช้เวลาช่วงบ่ายเก็บเปลือกหอย แซมเก็บได้ 11 ตัว ถ้าเราบวกจำนวนเปลือกหอยที่แซมและคาร์ลาเก็บได้ รวมทั้งหมดจะเท่ากับ 24 ถ้าเราบวกจำนวนเปลือกหอยที่คาร์ลาและซาราห์เก็บได้ รวมทั้งหมดจะเป็น 25 ตัว แต่ละอันเก็บได้กี่ตัว",24-11=x และ 25-x=y,"11,13,12 ตัว",แซม (x) เก็บเปลือกหอยได้ 11 ตัว คาร์ลา (y) เก็บเปลือกหอยได้ 13 ตัวซาราห์ (z) เก็บเปลือกหอยได้ 12 ตัว,จำนวน,yes,"Sam, Carla and Sarah spent on afternoon collecting sea shells. Sam collected 11. If we add the number of sea shells collected by Sam and Carla, the total would be 24. If we add the number of sea shells collected by Carla and Sarah, the total would be 25 shells. How many shells did each one collect?","Sam: 11, Carla: 13 and Sarah: 12",yes
ศุภางค์,คุณโจชัววิ่ง 6 กิโลเมตรทุกวันตั้งแต่วันจันทร์ถึงวันศุกร์ นอกจากนี้เขายังวิ่ง 12 กิโลเมตรต่อวันในวันเสาร์และวันอาทิตย์ โจชัววิ่งกี่กิโลเมตรในหนึ่งสัปดาห์,(6*5)+(12*2),54 กิโลเมตร,54 กิโลเมตรในหนึ่งสัปดาห์,ระยะทาง,yes,Mr Joshua runs 6 kilometers everyday from Monday to Friday. He also runs 12 kilometers a day on Saturday and Sunday. How many kilometers does Joshua run in a week?,54 kilometers,yes
